tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision
434.0,166.35,66.85,23.83,ALPHA,THETA
434.0,166.89,66.79,23.86,ALPHA,THETA
434.0,166.87,66.5,23.84,ALPHA,THETA
434.0,166.63,66.65,23.76,GAMMA,THETA
434.0,169.14,66.65,23.76,GAMMA,THETA
433.0,169.21,68.39,23.38,GAMMA,THETA
433.0,168.88,68.49,23.58,GAMMA,THETA
433.0,169.19,68.49,23.55,GAMMA,THETA
433.0,169.06,68.29,23.48,GAMMA,THETA
432.0,168.88,68.62,23.39,ALPHA,THETA
432.0,169.05,68.32,23.41,ALPHA,THETA
432.0,168.88,68.32,23.39,ALPHA,THETA
432.0,169.18,68.52,23.42,ALPHA,THETA
431.0,169.44,68.72,23.46,ALPHA,THETA
431.0,169.11,68.49,23.66,ALPHA,THETA
431.0,168.97,68.47,23.6,ALPHA,THETA
431.0,169.57,68.77,23.46,ALPHA,THETA
431.0,169.27,68.67,23.56,ALPHA,THETA
430.0,170.22,69.65,23.78,ALPHA,THETA
430.0,170.36,69.86,23.8,ALPHA,THETA
430.0,170.15,70.05,23.68,ALPHA,THETA
430.0,170.42,69.65,23.8,GAMMA,THETA
430.0,170.45,69.85,23.73,GAMMA,THETA
429.0,170.55,71.02,23.71,GAMMA,THETA
429.0,170.59,71.2,23.65,ALPHA,THETA
429.0,170.56,70.91,23.71,ALPHA,THETA
429.0,170.39,71.0,23.65,ALPHA,THETA
429.0,170.43,70.8,23.7,ALPHA,THETA
428.0,170.26,70.79,23.76,ALPHA,GAMMA
388.0,163.53,80.69,23.43,ALPHA,GAMMA
388.0,163.93,80.74,23.42,ALPHA,THETA
388.0,163.56,80.62,23.37,ALPHA,THETA
388.0,163.93,80.57,23.37,ALPHA,THETA
388.0,163.63,80.57,23.47,ALPHA,THETA
387.0,162.36,79.01,23.76,ALPHA,THETA
387.0,162.55,79.01,23.81,ALPHA,THETA
387.0,162.94,79.14,23.81,ALPHA,THETA
387.0,162.64,79.07,23.71,ALPHA,THETA
386.0,160.98,77.51,23.74,ALPHA,THETA
386.0,161.16,77.66,23.64,ALPHA,THETA
386.0,160.9,77.45,23.64,ALPHA,THETA
385.0,160.83,76.66,23.53,ALPHA,THETA
385.0,160.86,76.62,23.53,ALPHA,THETA
385.0,161.37,76.52,23.63,ALPHA,THETA
385.0,161.09,76.91,23.63,ALPHA,THETA
384.0,160.99,76.64,23.59,ALPHA,THETA
384.0,160.64,76.59,23.55,ALPHA,THETA
384.0,160.86,76.9,23.59,ALPHA,THETA
384.0,160.94,76.7,23.49,ALPHA,THETA
383.0,161.36,76.6,23.44,ALPHA,THETA
383.0,161.62,76.81,23.52,ALPHA,THETA
383.0,161.18,76.62,23.52,ALPHA,THETA
383.0,161.47,76.61,23.42,ALPHA,THETA
382.0,161.37,76.36,23.57,ALPHA,THETA
382.0,161.12,76.23,23.53,ALPHA,THETA
382.0,161.45,76.46,23.37,ALPHA,THETA
