tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position,ALPHA - Beta,GAMMA - Beta,THETA - Beta
529.0,158.13,69.44,25.79,ALPHA,THETA,True,False,False,0.13446314008535493,-0.9501275516035304,-0.13919236109363314
528.0,157.43,69.97,25.73,ALPHA,THETA,True,False,False,0.12315074434649878,-0.9214149185202788,-0.1347933929303396
528.0,158.03,69.99,25.67,ALPHA,THETA,True,False,False,-0.5014368999827561,0.11827779635941785,1.3973091605066985
528.0,157.43,69.79,25.77,ALPHA,THETA,True,False,False,0.3053050391095081,0.04697782800833073,1.5573729699989172
527.0,159.05,68.59,26.11,GAMMA,THETA,False,True,True,0.17557186081370013,0.35435454495019675,1.3682247800846392
527.0,159.06,68.73,26.16,GAMMA,THETA,False,True,True,-0.7291807023760752,0.4798366780613181,-0.27915728938052004
527.0,158.81,68.73,26.19,GAMMA,THETA,False,True,True,-0.7505381137569095,0.4798366780613181,-0.2415107644379536
527.0,159.06,68.76,26.09,GAMMA,THETA,False,True,True,0.2067268266449105,-0.06006707216897967,-0.9467019169752913
490.0,169.67,68.25,26.44,ALPHA,THETA,False,True,False,0.043782056266112944,0.01886112266912689,0.3484255889793162
489.0,171.32,67.86,26.91,ALPHA,THETA,False,True,False,-0.32280928103446266,0.2073078610424646,-0.09876706351494564
489.0,171.62,67.66,26.91,ALPHA,THETA,False,True,False,0.08442556493672607,0.316413770766794,-0.09876706351494564
488.0,170.4,67.6,26.64,ALPHA,THETA,True,False,True,0.044404776533567974,0.32634073621886117,-0.31960967869722756
488.0,170.34,67.83,26.66,ALPHA,THETA,True,False,True,0.014582276396799945,-0.34148185781456897,-0.9070572454495149
488.0,170.23,67.83,26.64,ALPHA,THETA,True,False,True,-0.40667044147949016,-0.34148185781456897,-0.3986117200739502
488.0,169.84,67.72,26.69,ALPHA,THETA,True,False,True,0.011171996657259676,-0.32166766231082067,-0.5349481616781069
488.0,170.14,67.63,26.63,ALPHA,THETA,True,False,True,-0.5649483448821231,-0.36732838388978467,0.21465755022103966
487.0,169.78,68.49,26.63,ALPHA,THETA,True,False,True,-0.5430094776327676,-0.2697193095182542,-0.5336999498250428
487.0,170.05,68.44,26.57,ALPHA,THETA,True,False,True,0.007717750226333222,-0.16361184651565547,0.23974830767038377
487.0,169.78,68.27,26.61,ALPHA,THETA,True,False,True,-0.1602237003058144,0.47561334404365435,-0.06919544381056972
487.0,170.38,68.09,26.59,ALPHA,THETA,True,False,True,-0.0690606577100886,0.2687359674417862,-0.5698134000959745
487.0,170.08,68.29,26.56,ALPHA,THETA,True,False,True,-0.5754501120255923,-0.224812075879943,0.41767282337880923
486.0,169.3,68.97,26.54,ALPHA,THETA,True,False,True,-0.535041340650104,-0.11658775847614335,0.43321781170281703
486.0,169.21,68.97,26.54,ALPHA,THETA,True,False,True,-0.03746608710474107,-0.11658775847614335,0.43321781170281703
486.0,168.82,68.9,26.63,ALPHA,THETA,True,False,True,-0.4737819004279002,0.9375938155049787,-0.948153349155013
486.0,169.3,68.78,26.66,ALPHA,THETA,True,False,True,-0.08316134277388602,-0.6104778216163579,-0.1412249090329613
486.0,169.0,68.77,26.59,ALPHA,THETA,True,False,True,-0.06490750338011042,-0.06023499398278877,-1.16436252806831
485.0,168.83,68.46,26.4,ALPHA,THETA,True,False,True,-0.06918539184425902,-0.05544518715583434,-0.6058256748243482
485.0,169.21,68.32,26.43,ALPHA,THETA,True,False,True,-0.33638905180656375,-0.30836050326417713,-0.5890774444830703
485.0,168.83,68.26,26.37,ALPHA,THETA,True,False,True,0.5119239357908598,-0.19319006683438825,0.7891639060958209
485.0,169.13,68.26,26.47,ALPHA,THETA,True,False,True,0.014155355501659472,-0.19319006683438825,0.1407225783478671
484.0,169.28,68.55,26.52,ALPHA,THETA,True,False,True,-0.028833141987973637,-0.2105839404032353,0.1254598862244058
484.0,169.47,68.15,26.53,ALPHA,THETA,True,False,True,0.12655871413848258,-0.20943478559998774,0.14602996109841532
484.0,169.28,68.15,26.47,ALPHA,THETA,True,False,True,-0.4511703978418587,-0.20943478559998774,-0.21426275891735638
484.0,169.58,68.35,26.5,ALPHA,THETA,True,False,True,0.5857132299404781,0.11093022954804416,0.8263684148626445
483.0,167.57,69.13,26.29,ALPHA,THETA,True,False,True,0.4673090455253619,0.23984379018519944,0.7721306204267707
483.0,167.61,69.19,26.33,ALPHA,THETA,True,False,True,-0.4727143414227245,0.1949599930341918,0.589103245507747
483.0,167.63,69.24,26.36,ALPHA,THETA,True,False,True,0.33914569448194953,0.41117280732066863,-0.22036828890132887
483.0,167.99,68.98,26.29,ALPHA,THETA,True,False,True,0.39336191721352226,0.09011233247505261,0.31564639081075
483.0,167.69,69.18,26.33,ALPHA,GAMMA,True,False,True,-0.09062388014450577,-0.40275228184627593,-0.7841937073692894
482.0,167.12,68.84,26.0,THETA,GAMMA,True,False,True,-0.06485940080743541,-0.46871048637491597,-0.9068580424210889
482.0,166.89,68.84,25.91,THETA,GAMMA,True,False,True,0.7625636769482314,-0.46871048637491597,1.556115389861825
482.0,167.07,68.94,26.06,THETA,GAMMA,True,False,True,0.29110101779027425,0.3747012894191213,-0.037498548076122525
482.0,167.12,68.93,25.96,THETA,ALPHA,True,False,True,-0.043263788086031554,-0.35625658786337927,0.5238446972070036
434.0,148.49,69.27,23.69,ALPHA,THETA,True,False,False,-0.26029063551047477,0.04717488460113914,0.24709314718719216
433.0,147.89,69.4,23.55,ALPHA,THETA,True,False,False,0.11914754125498091,-0.016965673174041723,1.5750398728554975
433.0,148.49,69.63,23.57,GAMMA,THETA,True,False,False,0.2690197387908602,-0.21550059724689438,-0.24457251982280728
433.0,147.89,69.49,23.45,GAMMA,THETA,True,False,False,-0.9159682488390987,0.1446921976352626,-0.6683288981581779
433.0,148.19,69.6,23.47,GAMMA,THETA,True,False,False,0.1398480672293395,0.3307465784180489,-0.38833070081413873
432.0,148.57,69.42,23.35,GAMMA,THETA,True,False,False,0.06089677424535372,-0.03243454653591105,-0.22545136588748488
432.0,148.31,69.25,23.41,GAMMA,THETA,True,False,False,-0.291500272416283,-0.1077299074524843,-0.20161109823422935
432.0,148.57,69.5,23.37,GAMMA,THETA,True,False,False,0.29935588940834995,0.06975486844934238,-0.20820836560049172
432.0,148.27,69.45,23.45,ALPHA,THETA,True,False,False,0.33461634071461877,-0.1078674277871444,0.0792439929340857
431.0,146.85,69.63,23.18,ALPHA,THETA,True,False,False,0.1956429660109829,-0.10458796975140484,-1.1389132343083197
431.0,147.15,69.83,23.26,ALPHA,THETA,False,True,False,0.17138162832782233,-0.1643879603683191,-1.1980237367550426
430.0,147.72,69.53,23.43,GAMMA,THETA,False,True,False,-0.2541088488369018,0.017323209339293925,0.29487676136815694
430.0,147.84,69.35,23.42,GAMMA,THETA,False,True,False,-0.015914352726280463,-0.0031069214357418874,1.1209520229627299
430.0,148.06,69.35,23.38,GAMMA,THETA,False,True,False,-0.24576381112842471,-0.0031069214357418874,-0.7580047999506284
430.0,147.76,69.53,23.42,GAMMA,THETA,False,True,False,0.2269646611392437,0.1150036083053058,0.33149540095253727
429.0,148.03,69.17,23.08,ALPHA,THETA,True,False,False,0.22281502358214325,-0.05212493952185621,0.2752390572767797
429.0,147.73,69.37,23.18,ALPHA,THETA,True,False,False,0.1326451377664436,0.3236059393976189,0.8649458665038197
428.0,148.33,69.02,23.7,GAMMA,THETA,False,True,True,0.05947903779693398,0.27632967794087115,0.450333802094628
428.0,148.85,69.1,23.54,GAMMA,THETA,False,True,True,-0.4773439203063796,0.3364498794412831,-0.3692278442295534
428.0,148.63,69.22,23.64,GAMMA,THETA,False,True,True,-0.024566473072809403,-0.48324294458726463,0.6517470118743746
427.0,148.11,69.03,23.79,GAMMA,ALPHA,False,True,True,0.07381423369860776,0.2935841484435192,-0.4226123532832175
427.0,148.41,69.16,23.71,GAMMA,THETA,False,True,True,0.07562846839871114,0.11395271592462156,0.5837804398791442
426.0,146.83,69.09,23.62,GAMMA,THETA,False,True,True,-0.08018364839303127,0.1295208914479093,0.5473172383930336
426.0,146.87,69.02,23.56,GAMMA,THETA,False,True,True,0.07945299641411463,-0.3238412601449029,0.6953073654640722
426.0,146.6,68.9,23.62,GAMMA,THETA,False,True,True,0.3802600396007086,-0.6411948855166065,-0.7598436584291589
426.0,147.16,69.1,23.52,GAMMA,THETA,False,True,True,0.3875032770919595,-0.653665126506662,-0.7229515945997885
381.0,140.58,68.01,24.65,GAMMA,THETA,False,True,False,-0.30467239084756165,-0.04562437540287371,0.039958730759285126
380.0,141.16,67.79,24.85,GAMMA,THETA,False,True,False,-0.3712982968150303,-0.0050703837676444674,-0.06213363434464659
380.0,141.04,67.79,24.86,GAMMA,THETA,False,True,False,0.10781495651335171,-0.0050703837676444674,-0.13872322518691985
380.0,140.93,67.99,24.91,ALPHA,THETA,False,True,False,0.2600878719241474,-0.31692765751424085,1.3044699190535654
379.0,142.73,67.39,25.11,ALPHA,THETA,False,True,False,-0.02430283748068769,-0.15564021371732556,0.9074386192385643
379.0,142.88,67.52,25.11,ALPHA,THETA,False,True,False,-0.03712782050531233,0.033501805028570905,0.9074386192385643
379.0,142.75,67.72,25.11,ALPHA,THETA,False,True,False,0.015449390154225938,-0.021971169873249093,0.9074386192385643
379.0,142.93,67.54,25.21,ALPHA,GAMMA,False,True,False,-0.029636527891697215,-0.1152615186494495,-0.19622903856854154
378.0,142.19,67.87,24.76,ALPHA,GAMMA,False,True,False,-0.11079535732812028,-0.09507586601550094,-0.4635493488840303
378.0,142.04,68.07,24.76,ALPHA,GAMMA,False,True,False,-0.08680946758472004,0.3638009863506578,-0.4635493488840303
378.0,142.34,68.27,24.86,ALPHA,GAMMA,False,True,False,-0.024303649324735034,-0.08888361745676747,-0.2874805287308844
377.0,142.27,67.99,24.74,ALPHA,THETA,False,True,False,-0.028093017024126848,0.482516688732624,-0.31303150085237824
377.0,142.37,67.84,24.77,ALPHA,THETA,False,True,False,-0.0612689098402632,0.08778586597274714,-0.36252421827052367
377.0,142.27,67.83,24.74,ALPHA,THETA,False,True,False,0.11880411713104792,0.21580192915395902,0.2123515415248323
376.0,142.37,68.09,24.44,ALPHA,THETA,True,False,False,0.1154338409855898,0.23145967252580507,0.16297600769003043
376.0,142.11,68.02,24.47,ALPHA,THETA,True,False,False,-0.29972255582251506,-0.29680200446025307,-0.0713818215265429
376.0,142.07,67.97,24.47,ALPHA,THETA,True,False,False,0.024898635907034977,-0.39136681264935635,-0.3822736687477214
375.0,142.18,67.44,24.53,ALPHA,THETA,True,False,False,-0.23889417468663157,0.056244486829000365,-0.3085749698584245
375.0,141.9,67.71,24.5,ALPHA,THETA,True,False,False,0.16893381005982192,0.013842116939703011,-0.5659349300471302
375.0,142.12,67.71,24.5,ALPHA,THETA,True,False,False,0.056427914402272586,0.013842116939703011,-0.5659349300471302
375.0,141.96,67.51,24.6,GAMMA,THETA,True,False,False,-0.018064458950304556,0.009921616239678861,-0.3525085631268047
374.0,142.82,67.22,24.5,GAMMA,THETA,False,True,True,0.02368237054695004,0.010822081696044338,-0.38982751086498796
374.0,142.74,67.16,24.49,GAMMA,THETA,False,True,True,-0.08945744584413093,0.13461859020783806,0.23462164497986981
374.0,143.04,66.87,24.55,GAMMA,ALPHA,False,True,True,0.16381648050054973,0.0016929358538621312,0.13865280172340275
373.0,143.14,66.7,24.75,GAMMA,ALPHA,False,True,True,0.1936872865706724,0.07509415919101825,0.011063962514652286
373.0,142.94,66.86,24.8,GAMMA,ALPHA,False,True,True,-0.15701485705433707,0.02736862744570493,0.28056874937209664
373.0,143.02,66.83,24.6,GAMMA,THETA,False,True,True,0.24133845821810407,-0.1502616276500376,-0.41644352998315615
373.0,142.67,66.86,24.7,GAMMA,THETA,False,True,True,0.1574457045160021,0.021953964032119817,-0.4966168274121298
339.0,148.84,63.67,24.9,ALPHA,THETA,True,False,False,0.00906967988326423,0.26152983287723125,-0.0033947594652033817
339.0,148.41,64.07,25.02,ALPHA,THETA,True,False,False,-0.3009717907859504,-0.19536355509569756,-0.6589487089824775
339.0,148.54,63.87,25.0,ALPHA,THETA,True,False,False,0.21181997123335766,0.18808625701987464,-0.005283673050062576
338.0,147.9,64.14,24.86,ALPHA,THETA,True,False,False,0.1127040158242859,0.22258758259442182,-0.10205450198696592
338.0,147.96,64.35,24.98,ALPHA,THETA,True,False,False,0.06066103216505938,-0.27241301645755467,0.34960038995150733
338.0,147.95,64.3,24.99,ALPHA,THETA,True,False,False,0.4749912502261625,-0.08490231527342962,0.5179557737529984
338.0,147.9,64.15,24.89,ALPHA,THETA,True,False,False,-0.09683533627927436,-0.015651987188160292,-0.5256672498872892
337.0,147.71,64.63,24.69,ALPHA,THETA,True,False,False,-0.13437922726860882,-0.1557484109626963,0.34675872289686616
337.0,147.43,64.47,24.69,ALPHA,THETA,True,False,False,0.2122084541801698,-0.5429029619820456,0.34675872289686616
337.0,147.41,64.43,24.79,ALPHA,THETA,True,False,False,0.05201062704175527,0.4314514596337242,-0.3217919782281152
337.0,147.51,64.43,24.79,ALPHA,THETA,True,False,False,0.04426870461260912,-0.5568923941579691,0.33848466178252884
336.0,147.44,63.59,24.75,ALPHA,THETA,True,False,False,0.06631085752959194,0.3912877466012846,-0.3261320426158597
336.0,147.51,63.59,24.6,ALPHA,THETA,True,False,False,-0.036212977299377794,0.3912877466012846,-0.15339219452841096
336.0,147.21,63.79,24.7,ALPHA,THETA,True,False,False,0.05955926265780797,-0.3325238375577366,-0.4744355675006119
335.0,148.78,63.59,25.15,ALPHA,THETA,False,True,True,-0.1973120439835406,-0.25976097928640984,-0.924735158004754
335.0,148.69,63.65,25.22,ALPHA,THETA,False,True,True,-0.2750872291766156,0.17573187631154166,-0.46870332653646163
335.0,148.59,63.73,25.17,ALPHA,THETA,False,True,True,0.10920231054935982,-0.6778190548161395,-0.011601198724333925
335.0,148.72,63.6,25.12,ALPHA,THETA,False,True,True,-0.1921282783695902,0.18487688578280498,-0.2959584428528826
334.0,148.31,63.75,24.99,ALPHA,THETA,False,True,True,-0.23800611414109307,0.24701920567774577,-0.3439664216259154
334.0,148.4,63.52,24.93,GAMMA,THETA,False,True,True,-0.48408607952252736,-0.32878552359690666,-0.8135778490631679
334.0,148.36,63.74,25.04,THETA,THETA,False,True,True,-0.1577464637973819,-0.1063777124753131,0.4023876259651429
334.0,148.1,63.72,24.95,THETA,THETA,False,True,True,-0.042728741759713286,-0.044605309838327396,-0.2965733384758975
333.0,147.59,63.02,25.15,THETA,THETA,False,True,True,-0.02156724990313617,0.017422864202338167,-0.33759875077513213
333.0,147.34,63.09,25.09,THETA,THETA,False,True,True,0.06861112576816837,-0.00200050837778194,-0.5228249258236398
333.0,147.46,63.24,25.16,THETA,THETA,False,True,True,-0.23553299693038626,0.1383688285711912,-0.02975475315546941
333.0,147.64,63.04,25.06,THETA,ALPHA,False,True,True,0.17595991404042352,-0.01227386138075339,-0.10607599494504348
332.0,147.49,63.02,25.36,THETA,GAMMA,False,True,True,0.2612934482916914,0.24180567541796336,-0.5772131732343819
332.0,147.95,63.02,25.28,THETA,GAMMA,False,True,True,-0.2431223886099979,0.24180567541796336,0.3296740447019455
332.0,147.79,63.02,25.36,THETA,GAMMA,False,True,True,0.09254031686214217,0.24180567541796336,0.23586039030645062
276.0,142.82,59.19,24.58,GAMMA,THETA,True,False,False,0.10931653015647455,0.28538324997586073,-0.0027880535901110472
276.0,142.65,59.59,24.75,ALPHA,THETA,True,False,False,0.1301757898816779,-0.20099980313938964,-0.4362730331531365
276.0,142.82,59.32,24.62,GAMMA,THETA,True,False,False,-0.046091445965898356,-0.14138782081021592,0.017372161532919744
276.0,142.52,59.39,24.65,GAMMA,THETA,True,False,False,-0.39522188386901796,0.10466584187119166,-0.5153461957864072
275.0,143.49,59.29,24.65,GAMMA,THETA,True,False,False,-0.5249788810317764,0.18883344708087912,0.09873401339596509
275.0,143.26,59.15,24.73,ALPHA,THETA,True,False,False,0.3853625090848155,-0.24765194676953622,-0.6418905802065811
275.0,143.49,59.09,24.77,ALPHA,THETA,True,False,False,-0.30184005977710293,-0.8300391882858066,-0.1381108432321097
275.0,143.19,59.29,24.67,ALPHA,THETA,True,False,False,0.04094107367770966,0.6599504412801618,-0.2979673418283488
274.0,143.29,59.15,24.43,ALPHA,THETA,True,False,False,0.058857419789584975,0.6821800870874248,-0.3936768178220438
274.0,143.67,59.09,24.32,ALPHA,THETA,True,False,False,-0.13739492353101823,-0.3156022272108426,-0.48269423896565267
274.0,143.51,59.06,24.33,ALPHA,THETA,True,False,False,0.06629065013626562,0.3952688795325421,0.8417879486832905
273.0,143.12,58.7,24.23,ALPHA,THETA,True,False,False,0.010872798888175435,0.2868055972163762,0.7154103912176951
273.0,143.21,58.41,24.25,ALPHA,GAMMA,True,False,False,-0.13347259495639394,-0.033384241323587395,0.5701621534024048
273.0,143.67,58.65,24.25,ALPHA,GAMMA,True,False,False,-0.31834671995311437,-0.31643252577300596,0.5701621534024048
273.0,143.35,58.49,24.15,ALPHA,GAMMA,True,False,False,0.15741186073961966,-0.19256161625974905,-0.2632785601993934
273.0,143.42,58.61,24.19,ALPHA,GAMMA,True,False,False,-0.47136295195573574,-0.0454016634495153,-1.570197011695912
272.0,143.14,58.3,24.17,ALPHA,GAMMA,True,False,False,-0.4725003045895682,-0.03182863478462508,-1.5778583911751574
272.0,143.37,58.42,24.17,ALPHA,GAMMA,True,False,False,0.0884910255554505,0.32530160444665307,-1.5778583911751574
272.0,143.57,58.42,24.17,ALPHA,GAMMA,True,False,False,-0.5117604572791573,0.32530160444665307,-1.5778583911751574
272.0,143.27,58.5,24.27,ALPHA,GAMMA,True,False,False,0.04587713457083837,-0.5188379597906023,-0.6568327447651878
271.0,143.67,58.22,24.54,ALPHA,THETA,False,True,False,0.008084479731207989,0.7658096162350434,0.11916180859013321
271.0,143.37,57.87,24.47,ALPHA,THETA,False,True,False,-0.38438692183578405,0.30306956381237526,-0.09878853832157043
271.0,143.67,58.03,24.47,ALPHA,THETA,False,True,False,0.11735326101096186,0.4357639530250474,-0.09878853832157043
270.0,142.43,58.06,24.15,ALPHA,THETA,True,False,True,-0.24697430160701575,0.45290632420019666,-0.5588553619950458
270.0,142.26,58.22,24.15,ALPHA,THETA,True,False,True,-0.021423255841042693,0.1405858301311202,-0.5588553619950458
270.0,141.83,58.08,24.15,ALPHA,THETA,True,False,True,-0.22208069182445989,0.3792775368473363,-0.5588553619950458
270.0,142.13,58.05,24.05,ALPHA,THETA,True,False,True,0.1337327062741535,0.17510785273142251,0.12101799944009976
269.0,142.53,58.12,23.93,GAMMA,THETA,True,False,True,0.11669254527692398,-0.18461081869205745,0.17066825761911372
269.0,142.81,58.12,23.93,GAMMA,THETA,True,False,True,-0.23961033481418623,-0.18461081869205745,0.17066825761911372
269.0,142.83,57.92,24.03,GAMMA,THETA,True,False,True,0.21586684206858536,0.2182905044814648,0.8373149162456487
231.0,144.07,55.97,24.05,GAMMA,THETA,False,True,False,0.1415409113913217,-0.3886266062418377,0.04668886329626111
230.0,144.29,55.8,24.38,ALPHA,THETA,False,True,False,0.11608113533937249,0.11802486172448742,-0.16433611827739122
230.0,144.38,55.99,24.32,ALPHA,THETA,False,True,False,0.3346370381785645,-0.5662766611867774,0.6415245514992628
230.0,144.59,55.91,24.42,ALPHA,THETA,False,True,False,0.01915880155465179,0.3425166709991031,0.019085792118022353
229.0,144.23,55.97,24.6,ALPHA,THETA,True,False,True,0.2967955228557385,0.2542454479958467,0.040128620442841476
228.0,143.49,55.75,24.15,ALPHA,THETA,True,False,True,-0.0920028776285135,-0.12747995046460409,0.7668333492193736
228.0,143.05,55.84,24.13,ALPHA,THETA,True,False,True,0.041025523472685524,-0.07240387320629375,-0.3156144683828163
228.0,143.35,55.95,24.23,ALPHA,THETA,True,False,True,-0.0412514745731683,0.2978387674264003,-0.016188742779244765
227.0,143.32,56.39,24.44,ALPHA,THETA,True,False,True,-0.05010598931369695,0.33498226018870114,0.020963419875063435
227.0,142.76,56.28,24.27,ALPHA,THETA,True,False,True,0.19219277765675002,-0.38887322427335635,-0.2763124898839128
227.0,143.36,56.46,24.24,ALPHA,THETA,True,False,True,-0.24097072472362044,0.0113565506855865,0.6973942543140504
227.0,143.06,56.26,24.34,ALPHA,GAMMA,True,False,True,-0.1126949137761117,-0.11814371011138801,-0.2442884506024723
226.0,142.88,56.12,24.27,ALPHA,THETA,True,False,True,-0.07462002999833758,-0.3153255542469384,0.5613907857511836
226.0,143.18,56.32,24.37,ALPHA,THETA,True,False,True,-0.13550425871705332,0.6644457979910134,-1.343337816054725
225.0,143.62,56.62,24.28,ALPHA,THETA,True,False,True,-0.1385493517239022,0.6747856940101736,-1.3264865929162368
225.0,143.57,56.5,24.35,ALPHA,THETA,True,False,True,-0.15958926363165227,0.0548323314630937,0.5645758227095311
225.0,143.02,56.56,24.19,ALPHA,THETA,True,False,True,0.040030401250681205,-0.42492057269614714,-1.0608219799368488
