tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position,ALPHA - Beta,GAMMA - Beta,THETA - Beta
582.0,152.88,70.73,23.74,ALPHA,THETA,True,False,False,0.10690673601843582,-0.26850220336719666,0.32147750160232197
582.0,152.58,70.93,23.74,ALPHA,THETA,True,False,False,0.5885104710958526,0.09283521809478387,0.32147750160232197
581.0,150.55,70.59,23.29,ALPHA,THETA,True,False,False,0.2455031944289169,-0.06584626169178605,-0.08030670121282742
581.0,150.81,70.67,23.21,ALPHA,THETA,True,False,False,-0.5382856179132584,0.042486380835829556,0.1958857138896558
581.0,150.51,70.79,23.31,ALPHA,THETA,True,False,False,0.3157767343673158,-0.6652251930250663,-0.014586186438469104
580.0,150.41,70.45,23.4,ALPHA,THETA,True,False,False,0.31129483604951547,-0.6733742317581775,0.052544327437271984
580.0,149.88,70.45,23.51,ALPHA,THETA,True,False,False,0.24118386770764014,-0.6733742317581775,-1.5625916688376804
580.0,150.48,70.45,23.41,ALPHA,THETA,True,False,False,0.428786658928121,-0.6733742317581775,0.7388494500288165
580.0,150.41,70.49,23.41,ALPHA,THETA,True,False,False,-0.6932967857498414,0.963824136055667,0.7388494500288165
580.0,150.18,70.65,23.41,ALPHA,THETA,True,False,False,0.5706953706604763,-0.2734988046487307,0.7388494500288165
579.0,150.54,70.4,23.38,ALPHA,THETA,True,False,False,0.5555706585299091,-0.25763884101500073,0.7608806168655969
579.0,150.38,70.38,23.46,GAMMA,THETA,True,False,False,-0.6647191226965232,0.5492248078660149,0.5494279815794917
579.0,150.66,70.48,23.38,GAMMA,THETA,True,False,False,0.13338827658137528,-0.4529425380327156,0.9007171612648949
579.0,150.06,70.54,23.55,THETA,THETA,True,False,False,-0.9700770968733649,0.25493099979694267,-0.5074915960389353
579.0,150.36,70.5,23.48,THETA,THETA,True,False,False,-0.9855549019266071,0.27184284578908013,-0.4849766355910141
578.0,152.64,70.23,23.51,THETA,THETA,True,False,False,0.9500466162076479,-0.16079136096572122,0.8237294043129672
578.0,152.49,70.23,23.48,THETA,THETA,True,False,False,-0.6351042292444955,-0.16079136096572122,0.3975549304328833
578.0,152.56,70.58,23.66,THETA,GAMMA,True,False,False,0.9604094196942939,-0.4389172246574139,-0.9797479339312446
578.0,152.59,70.56,23.58,ALPHA,GAMMA,True,False,False,-0.17668732695460132,-0.5461402401357618,0.006251351508088478
578.0,152.66,70.43,23.58,ALPHA,GAMMA,True,False,False,0.8365059542352729,0.5975120193427391,0.006251351508088478
577.0,151.96,70.73,23.69,ALPHA,GAMMA,True,False,False,0.866296073723395,0.541230106419092,-0.16151814833279596
577.0,152.56,70.69,23.65,ALPHA,GAMMA,True,False,False,-0.7608692846661802,0.08431475097404464,-0.6105251142967568
577.0,152.26,70.89,23.62,ALPHA,GAMMA,True,False,False,0.4967452359997634,0.3365501271685529,-0.5250596534333033
576.0,153.86,70.71,24.04,ALPHA,THETA,False,True,True,0.337207583343634,0.375913291663436,-0.8117360558649304
576.0,153.65,70.71,24.08,ALPHA,THETA,False,True,True,-0.22313617211837822,0.375913291663436,0.7235810022734097
576.0,153.88,70.64,24.2,ALPHA,THETA,False,True,True,-0.4442639258224508,0.3357033437432653,-1.0469089962178841
576.0,153.57,70.63,24.24,GAMMA,THETA,False,True,True,-0.36110042183390545,0.4566911571624066,-0.13659421208977746
576.0,153.58,70.8,24.14,GAMMA,THETA,False,True,True,-0.06089867380503108,0.01580606755066344,-0.4622591683707031
575.0,153.16,71.3,24.1,GAMMA,THETA,False,True,True,-0.2625348403898418,0.07718089102712915,-0.47283625521337774
575.0,153.06,71.1,24.0,GAMMA,THETA,False,True,True,-0.2677542786237195,-0.1045277154306102,0.32736303096001934
575.0,153.53,71.29,24.1,GAMMA,THETA,False,True,True,-0.14802565174966884,-0.2926049524203579,-0.19758312458532026
575.0,154.82,71.3,24.0,GAMMA,THETA,False,True,True,-0.21421034017755386,-0.3018170625585022,-0.1543219221907619
535.0,158.86,68.5,26.05,ALPHA,THETA,True,False,False,0.42349529071182784,0.27771648837171364,0.30295757721396366
534.0,157.57,69.48,25.75,GAMMA,THETA,True,False,False,0.293817924805317,0.564374776247303,0.0884639185902813
534.0,156.97,69.51,25.69,GAMMA,THETA,True,False,False,0.009913801027013043,0.4851230654907247,-1.0114922990043322
534.0,157.14,69.51,25.75,GAMMA,THETA,True,False,False,-0.9910235836943365,0.4851230654907247,-0.9448752055498963
534.0,157.27,69.31,25.74,GAMMA,ALPHA,True,False,False,0.014730664172481023,-0.6350774857559333,0.1537672717707489
533.0,158.84,68.36,26.31,GAMMA,ALPHA,True,False,False,0.0278743905424523,-0.3878300485456563,-0.37398080558512736
533.0,158.53,68.41,26.31,GAMMA,ALPHA,True,False,False,-0.13992104736621105,-0.20813496470002682,-0.37398080558512736
533.0,158.73,68.52,26.17,GAMMA,THETA,True,False,False,0.38476775406300184,0.8292474489390145,0.25404668460612195
533.0,158.48,68.56,26.31,GAMMA,THETA,True,False,False,0.5486624716760575,-0.533212516481647,0.6373076382671358
532.0,157.79,68.97,25.69,GAMMA,THETA,True,False,False,0.36673413036686753,-0.2517382590817706,0.31815453130900184
532.0,157.3,69.11,25.81,GAMMA,THETA,True,False,False,0.12780535488443046,0.32346003733538303,0.26189808320078434
532.0,157.78,68.99,25.89,GAMMA,THETA,True,False,False,0.29046682337490953,-0.20526953658556393,0.3044593631748084
532.0,157.49,69.11,25.79,ALPHA,THETA,True,False,False,0.028682212542965598,-1.1041601767886478,0.05116068890032751
531.0,155.73,70.03,25.31,GAMMA,THETA,True,False,False,-0.19796913501708135,-0.779754139861351,-0.3769782859442241
531.0,155.95,70.13,25.33,GAMMA,THETA,True,False,False,-0.049651162869299506,0.3064526264248607,0.657144682008591
531.0,155.65,70.27,25.33,GAMMA,THETA,True,False,False,0.11150391331656373,0.7602759463067752,0.657144682008591
530.0,156.86,69.71,25.4,GAMMA,THETA,True,False,False,0.08822812444516458,0.6884644873249226,0.7057475374262188
530.0,156.97,69.63,25.36,GAMMA,THETA,True,False,False,0.1475094564743199,0.4080945750458504,1.1835816490423186
530.0,157.01,69.63,25.39,GAMMA,THETA,True,False,False,-0.6516292707581745,0.4080945750458504,0.3485716249998522
530.0,156.76,69.63,25.46,GAMMA,THETA,True,False,False,0.6660607332148607,0.4080945750458504,0.24729665709462328
529.0,157.86,69.04,25.72,ALPHA,THETA,True,False,False,0.6180281151884007,0.48639659385874195,0.1655428523387273
529.0,157.83,69.04,25.78,ALPHA,THETA,True,False,False,0.3909977078643442,0.48639659385874195,-0.545216736920362
529.0,158.43,69.18,25.73,ALPHA,THETA,True,False,False,-0.10920591913769499,0.04972019507510333,-0.9399604881907245
