tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position,ALPHA - Beta,GAMMA - Beta,THETA - Beta
526.0,168.57,57.52,21.94,ALPHA,THETA,False,True,True,-0.18622398572258883,0.15703153021352903,-0.38806801271124286
476.0,161.47,56.97,22.27,ALPHA,THETA,False,True,True,-0.006956353621993513,-0.2615449047988306,-0.07391594864912988
422.0,160.67,59.49,23.15,ALPHA,THETA,True,False,True,0.018636234713148264,0.3037361792357969,0.28795527805826115
378.0,158.82,57.74,21.05,ALPHA,THETA,False,True,True,-0.0612580735090082,-0.3922348409617505,0.6863429334563175
321.0,157.37,58.87,22.14,ALPHA,THETA,False,True,True,0.16459762482186474,0.5198360947602346,-0.31222375873725705
269.0,157.62,63.29,23.2,ALPHA,THETA,True,False,True,-0.09433771579068571,-0.0021091076643166336,-0.2897659601230488
221.0,151.83,67.77,24.06,ALPHA,THETA,False,True,True,-0.0976273999130747,0.6536690216048785,0.3324371333655374
169.0,150.78,66.38,22.92,ALPHA,THETA,False,True,True,-0.5350112604317565,-1.0290152150310206,0.6998224375214096
