tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position
576.0,162.97,75.96,27.47,ALPHA,THETA,True,False,False
575.0,161.64,75.69,27.51,ALPHA,THETA,True,False,False
575.0,162.06,75.51,27.43,ALPHA,THETA,True,False,False
575.0,161.92,75.51,27.56,ALPHA,THETA,True,False,False
575.0,162.06,75.51,27.43,ALPHA,THETA,True,False,False
575.0,161.76,75.71,27.51,ALPHA,THETA,True,False,False
574.0,161.22,75.51,27.57,ALPHA,THETA,True,False,False
574.0,160.66,75.44,27.4,ALPHA,THETA,True,False,False
574.0,161.17,75.71,27.4,ALPHA,THETA,True,False,False
574.0,160.62,75.4,27.6,ALPHA,THETA,True,False,False
574.0,160.92,75.6,27.5,ALPHA,THETA,True,False,False
573.0,162.39,75.13,27.4,ALPHA,THETA,False,True,True
573.0,161.95,74.83,27.59,ALPHA,THETA,False,True,True
573.0,162.25,74.93,27.49,ALPHA,THETA,False,True,True
572.0,164.06,74.76,27.71,ALPHA,THETA,False,True,True
572.0,163.83,74.57,27.74,ALPHA,THETA,False,True,True
572.0,163.46,74.57,27.58,ALPHA,THETA,False,True,True
572.0,163.63,74.82,27.78,ALPHA,THETA,False,True,True
572.0,163.76,74.77,27.68,ALPHA,THETA,False,True,True
571.0,163.77,74.61,27.51,ALPHA,THETA,False,True,True
571.0,163.42,74.78,27.54,ALPHA,THETA,False,True,True
571.0,163.79,74.66,27.57,ALPHA,THETA,False,True,True
571.0,163.85,74.42,27.48,ALPHA,THETA,False,True,True
571.0,163.72,74.58,27.57,ALPHA,THETA,False,True,True
571.0,164.24,74.43,27.54,ALPHA,THETA,False,True,True
570.0,164.17,74.43,27.46,ALPHA,THETA,False,True,True
570.0,164.29,74.12,27.46,ALPHA,THETA,False,True,True
570.0,164.77,74.23,27.46,ALPHA,THETA,False,True,True
570.0,164.47,74.23,27.56,ALPHA,THETA,False,True,True
569.0,165.24,73.76,27.46,ALPHA,THETA,False,True,True
569.0,165.15,73.79,27.39,ALPHA,THETA,False,True,True
569.0,164.74,73.74,27.39,ALPHA,THETA,False,True,True
569.0,164.64,73.74,27.39,ALPHA,THETA,False,True,True
569.0,164.94,73.84,27.36,ALPHA,THETA,False,True,True
568.0,165.99,74.52,27.4,ALPHA,THETA,False,True,True
568.0,165.9,74.41,27.39,ALPHA,THETA,False,True,True
568.0,165.99,74.25,27.49,ALPHA,THETA,False,True,True
568.0,165.9,74.26,27.49,ALPHA,THETA,False,True,True
