tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position
589.0,142.13,64.43,18.31,ALPHA,THETA,False,True,False
588.0,142.08,63.88,18.35,ALPHA,THETA,False,True,False
588.0,142.2,64.18,18.35,ALPHA,THETA,False,True,False
588.0,142.37,64.07,18.35,ALPHA,THETA,False,True,False
588.0,142.07,64.04,18.45,ALPHA,THETA,False,True,False
587.0,142.44,63.2,18.55,ALPHA,THETA,False,True,False
587.0,142.1,63.26,18.53,ALPHA,THETA,False,True,False
587.0,142.25,63.46,18.61,ALPHA,THETA,False,True,False
587.0,142.57,63.54,18.46,ALPHA,THETA,False,True,False
587.0,142.27,63.34,18.51,ALPHA,THETA,False,True,False
586.0,142.82,63.78,18.54,ALPHA,THETA,False,True,False
586.0,142.83,63.56,18.6,ALPHA,THETA,False,True,False
586.0,142.77,63.76,18.57,ALPHA,THETA,False,True,False
586.0,142.79,63.58,18.65,ALPHA,THETA,False,True,False
586.0,142.53,63.58,18.55,ALPHA,THETA,False,True,False
585.0,141.46,63.45,18.54,ALPHA,THETA,False,True,False
585.0,141.72,63.5,18.46,ALPHA,THETA,False,True,False
585.0,141.65,63.32,18.46,ALPHA,THETA,False,True,False
585.0,141.72,63.3,18.46,ALPHA,THETA,False,True,False
584.0,141.18,63.92,18.49,ALPHA,THETA,True,False,True
584.0,141.42,63.92,18.39,ALPHA,THETA,True,False,True
584.0,141.54,63.91,18.43,ALPHA,THETA,True,False,True
584.0,141.78,63.62,18.49,ALPHA,THETA,True,False,True
584.0,141.48,63.72,18.39,ALPHA,THETA,True,False,True
583.0,141.59,64.1,18.37,ALPHA,THETA,True,False,True
583.0,141.43,64.29,18.3,ALPHA,THETA,True,False,True
583.0,141.55,64.43,18.4,ALPHA,THETA,True,False,True
583.0,141.35,64.25,18.4,ALPHA,THETA,True,False,True
582.0,142.02,63.89,18.32,ALPHA,THETA,True,False,True
582.0,141.97,64.01,18.29,ALPHA,THETA,True,False,True
582.0,142.19,63.88,18.49,ALPHA,THETA,True,False,True
582.0,141.89,63.81,18.39,ALPHA,THETA,True,False,True
582.0,141.51,63.81,18.39,ALPHA,THETA,True,False,True
581.0,141.5,64.22,18.31,ALPHA,THETA,True,False,True
581.0,141.3,64.09,18.2,ALPHA,THETA,True,False,True
581.0,141.9,64.14,18.2,ALPHA,THETA,True,False,True
581.0,140.59,64.33,18.3,ALPHA,THETA,True,False,True
537.0,144.54,63.58,18.62,ALPHA,THETA,False,True,True
536.0,144.91,63.36,18.76,ALPHA,THETA,False,True,True
536.0,144.59,63.36,18.71,ALPHA,THETA,False,True,True
536.0,144.48,63.31,18.68,ALPHA,THETA,False,True,True
536.0,144.49,63.31,18.81,ALPHA,THETA,False,True,True
536.0,144.61,63.51,18.73,ALPHA,THETA,False,True,True
535.0,145.22,63.26,18.7,ALPHA,THETA,False,True,True
535.0,145.37,63.42,18.79,ALPHA,THETA,False,True,True
535.0,145.55,63.35,18.76,ALPHA,THETA,False,True,True
535.0,145.17,63.26,18.71,ALPHA,THETA,False,True,True
535.0,145.47,63.46,18.8,ALPHA,THETA,False,True,True
534.0,146.49,63.25,18.96,ALPHA,THETA,False,True,True
534.0,146.29,63.37,18.95,ALPHA,THETA,False,True,True
534.0,146.33,63.57,18.86,ALPHA,THETA,False,True,True
534.0,146.49,63.65,18.98,ALPHA,THETA,False,True,True
534.0,146.19,63.45,18.88,ALPHA,THETA,False,True,True
533.0,147.44,63.95,19.0,ALPHA,THETA,False,True,True
533.0,147.68,63.98,19.0,ALPHA,THETA,False,True,True
533.0,147.12,63.9,18.98,ALPHA,THETA,False,True,True
533.0,147.68,63.9,19.09,ALPHA,THETA,False,True,True
533.0,147.38,64.1,18.99,ALPHA,THETA,False,True,True
532.0,147.45,64.1,18.9,ALPHA,THETA,False,True,True
532.0,147.76,64.42,19.0,ALPHA,THETA,False,True,True
532.0,147.46,64.22,19.0,ALPHA,THETA,False,True,True
531.0,146.83,64.23,18.82,ALPHA,THETA,False,True,True
531.0,146.81,64.43,18.76,ALPHA,THETA,False,True,True
531.0,146.84,64.43,18.72,ALPHA,THETA,False,True,True
531.0,146.56,64.33,18.82,ALPHA,THETA,False,True,True
531.0,146.86,64.33,18.8,ALPHA,THETA,False,True,True
530.0,147.89,64.9,18.68,ALPHA,THETA,False,True,True
530.0,147.49,64.99,18.75,ALPHA,THETA,False,True,True
530.0,147.7,64.97,18.75,ALPHA,THETA,False,True,True
530.0,147.79,64.88,18.77,ALPHA,THETA,False,True,True
529.0,147.88,64.9,18.78,ALPHA,THETA,False,True,True
529.0,147.95,64.93,18.68,ALPHA,THETA,False,True,True
490.0,145.05,65.58,18.38,ALPHA,THETA,False,True,False
489.0,145.52,65.12,18.29,ALPHA,THETA,False,True,False
489.0,145.22,65.32,18.39,ALPHA,THETA,False,True,False
488.0,145.78,65.1,18.41,ALPHA,THETA,False,True,False
488.0,145.32,65.01,18.41,ALPHA,THETA,False,True,False
488.0,145.89,65.18,18.41,ALPHA,THETA,False,True,False
488.0,145.59,65.11,18.37,ALPHA,THETA,False,True,False
487.0,145.41,64.99,18.5,ALPHA,THETA,False,True,False
487.0,145.53,65.25,18.5,ALPHA,THETA,False,True,False
487.0,145.41,65.38,18.5,ALPHA,THETA,False,True,False
487.0,145.71,65.18,18.4,ALPHA,THETA,False,True,False
486.0,145.75,65.31,18.41,ALPHA,THETA,False,True,False
486.0,145.91,65.33,18.46,ALPHA,THETA,False,True,False
