tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position
474.0,145.3,62.77,24.24,ALPHA,THETA,True,False,True
473.0,143.92,62.94,23.78,ALPHA,THETA,True,False,True
473.0,144.0,63.22,23.95,GAMMA,THETA,True,False,True
473.0,143.7,63.14,23.85,GAMMA,THETA,True,False,True
472.0,142.82,63.81,23.61,GAMMA,THETA,True,False,True
472.0,142.68,63.74,23.63,GAMMA,THETA,True,False,True
472.0,143.03,63.88,23.53,GAMMA,THETA,True,False,True
472.0,142.58,63.84,23.53,ALPHA,THETA,True,False,True
472.0,142.73,63.68,23.53,ALPHA,THETA,True,False,True
471.0,142.27,64.17,23.49,ALPHA,THETA,True,False,True
471.0,142.33,64.26,23.47,ALPHA,THETA,True,False,True
471.0,142.54,64.16,23.49,ALPHA,THETA,True,False,True
471.0,142.48,64.16,23.49,ALPHA,THETA,True,False,True
470.0,142.76,64.15,23.5,ALPHA,THETA,True,False,True
470.0,143.26,64.14,23.49,ALPHA,THETA,True,False,True
470.0,143.31,64.04,23.5,ALPHA,THETA,True,False,True
470.0,143.01,63.95,23.49,ALPHA,THETA,True,False,True
469.0,144.49,63.25,23.84,ALPHA,THETA,True,False,True
469.0,144.86,63.25,23.84,ALPHA,THETA,True,False,True
469.0,144.26,63.45,23.74,ALPHA,THETA,True,False,True
435.0,147.51,60.61,24.88,ALPHA,GAMMA,False,True,False
435.0,148.06,60.42,25.08,ALPHA,GAMMA,False,True,False
435.0,147.81,60.42,25.08,ALPHA,GAMMA,False,True,False
434.0,147.92,60.56,24.75,THETA,GAMMA,False,True,False
434.0,148.06,60.34,24.75,THETA,GAMMA,False,True,False
434.0,147.92,60.5,24.85,THETA,GAMMA,False,True,False
434.0,148.22,60.54,24.85,ALPHA,GAMMA,False,True,False
433.0,147.89,60.45,24.92,ALPHA,THETA,False,True,False
433.0,147.9,60.64,25.07,ALPHA,THETA,False,True,False
433.0,148.06,60.37,25.02,ALPHA,THETA,False,True,False
433.0,147.89,60.37,24.95,GAMMA,THETA,False,True,False
433.0,148.19,60.57,25.02,GAMMA,THETA,False,True,False
432.0,148.06,60.75,25.16,GAMMA,THETA,False,True,False
432.0,148.02,60.55,24.96,GAMMA,THETA,False,True,False
