tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position
569.0,135.69,54.55,17.41,ALPHA,THETA,True,False,True
569.0,135.68,54.82,17.46,ALPHA,THETA,True,False,True
569.0,136.28,54.42,17.38,ALPHA,THETA,True,False,True
569.0,135.98,54.62,17.48,ALPHA,GAMMA,True,False,True
530.0,137.53,55.27,17.29,ALPHA,THETA,True,False,True
530.0,137.88,55.07,17.31,ALPHA,THETA,True,False,True
530.0,138.0,54.98,17.31,ALPHA,THETA,True,False,True
530.0,137.7,55.07,17.29,ALPHA,THETA,True,False,True
469.0,129.73,48.79,17.32,GAMMA,THETA,False,True,True
469.0,129.44,48.73,17.32,GAMMA,THETA,False,True,True
469.0,129.31,48.79,17.34,GAMMA,THETA,False,True,True
469.0,129.43,48.79,17.32,GAMMA,THETA,False,True,True
427.0,141.39,54.28,16.15,ALPHA,THETA,False,True,True
427.0,141.9,54.18,16.19,ALPHA,THETA,False,True,True
427.0,141.92,54.37,16.18,GAMMA,THETA,False,True,True
427.0,141.62,54.37,16.09,GAMMA,THETA,False,True,True
379.0,142.24,57.98,16.27,ALPHA,THETA,False,True,True
379.0,142.27,57.84,16.17,GAMMA,THETA,False,True,True
379.0,142.48,58.04,16.27,GAMMA,THETA,False,True,True
379.0,142.47,58.04,16.27,GAMMA,THETA,False,True,True
379.0,142.23,58.04,16.17,GAMMA,THETA,False,True,True
320.0,149.78,59.75,15.09,ALPHA,GAMMA,False,True,True
320.0,149.65,59.92,15.15,ALPHA,THETA,False,True,True
320.0,149.8,59.81,15.09,ALPHA,THETA,False,True,True
320.0,149.82,59.83,15.09,ALPHA,THETA,False,True,True
271.0,152.94,61.6,15.45,ALPHA,THETA,True,False,True
271.0,152.41,61.54,15.45,ALPHA,THETA,True,False,True
271.0,152.94,61.65,15.25,ALPHA,THETA,True,False,True
271.0,152.64,61.45,15.35,ALPHA,THETA,True,False,True
219.0,158.18,65.99,15.85,GAMMA,THETA,False,True,True
219.0,158.45,65.88,15.85,GAMMA,THETA,False,True,True
219.0,158.18,65.99,15.85,GAMMA,THETA,False,True,True
219.0,158.48,65.99,15.85,GAMMA,THETA,False,True,True
177.0,153.66,61.67,16.32,ALPHA,THETA,True,False,True
177.0,153.64,61.67,16.25,ALPHA,THETA,True,False,True
177.0,153.76,61.27,16.35,ALPHA,THETA,True,False,True
177.0,153.16,60.83,16.32,ALPHA,THETA,True,False,True
127.0,155.71,63.27,16.33,ALPHA,THETA,True,False,True
127.0,155.89,63.28,16.16,GAMMA,THETA,True,False,True
127.0,155.59,63.08,16.13,GAMMA,THETA,True,False,True
68.0,171.36,71.09,16.26,GAMMA,THETA,False,True,True
68.0,170.94,70.91,16.16,GAMMA,THETA,False,True,True
68.0,171.09,71.11,16.26,GAMMA,THETA,False,True,True
41.0,161.93,65.34,16.97,GAMMA,ALPHA,True,False,True
41.0,161.44,65.47,16.98,GAMMA,ALPHA,True,False,True
41.0,161.36,65.28,16.96,GAMMA,ALPHA,True,False,True
41.0,161.96,65.47,17.0,GAMMA,ALPHA,True,False,True
41.0,161.14,65.05,16.9,GAMMA,ALPHA,True,False,True
