tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position
583.0,140.82,59.95,20.58,THETA,ALPHA,False,True,False
583.0,140.78,60.33,20.52,THETA,ALPHA,False,True,False
583.0,140.22,59.93,20.42,THETA,ALPHA,False,True,False
583.0,140.43,59.93,20.62,THETA,ALPHA,False,True,False
582.0,140.8,59.91,20.67,GAMMA,THETA,False,True,False
582.0,140.99,60.11,20.68,GAMMA,THETA,False,True,False
582.0,140.8,60.06,20.61,ALPHA,THETA,False,True,False
581.0,140.65,60.08,20.66,ALPHA,THETA,True,False,False
581.0,140.32,60.11,20.67,ALPHA,THETA,True,False,False
581.0,140.73,60.24,20.5,ALPHA,THETA,True,False,False
581.0,140.57,60.04,20.47,ALPHA,THETA,True,False,False
580.0,139.58,59.59,20.55,THETA,THETA,True,False,False
580.0,139.27,59.79,20.35,THETA,THETA,True,False,False
580.0,139.28,59.78,20.55,THETA,THETA,True,False,False
579.0,142.43,59.28,20.65,THETA,GAMMA,False,True,False
579.0,142.47,59.27,20.62,THETA,ALPHA,False,True,False
579.0,141.87,59.05,20.72,THETA,ALPHA,False,True,False
578.0,141.61,59.24,20.67,THETA,ALPHA,False,True,False
578.0,141.01,59.24,20.68,THETA,GAMMA,False,True,False
578.0,141.21,59.24,20.72,THETA,THETA,False,True,False
578.0,141.61,59.04,20.62,ALPHA,THETA,False,True,False
578.0,141.31,59.04,20.62,ALPHA,THETA,False,True,False
577.0,140.57,58.96,20.56,ALPHA,THETA,False,True,False
577.0,140.24,58.96,20.59,ALPHA,THETA,False,True,False
577.0,140.54,58.83,20.49,ALPHA,THETA,False,True,False
576.0,139.8,59.03,20.4,ALPHA,THETA,True,False,True
576.0,140.02,58.86,20.34,ALPHA,THETA,True,False,True
576.0,139.91,59.03,20.32,ALPHA,THETA,True,False,True
576.0,139.72,58.86,20.42,ALPHA,THETA,True,False,True
575.0,139.63,59.22,20.27,ALPHA,THETA,True,False,True
575.0,139.17,59.17,20.28,ALPHA,THETA,True,False,True
575.0,139.52,59.11,20.18,ALPHA,THETA,True,False,True
575.0,139.47,59.09,20.28,ALPHA,THETA,True,False,True
574.0,140.2,59.74,20.34,ALPHA,THETA,True,False,True
574.0,139.93,59.34,20.38,ALPHA,THETA,True,False,True
532.0,136.65,58.29,20.91,ALPHA,THETA,True,False,False
532.0,136.64,57.93,20.91,ALPHA,THETA,True,False,False
532.0,136.27,58.1,20.91,ALPHA,GAMMA,True,False,False
532.0,136.35,58.13,20.81,ALPHA,GAMMA,True,False,False
531.0,136.08,58.36,20.78,ALPHA,GAMMA,True,False,False
531.0,136.52,58.36,20.77,ALPHA,GAMMA,True,False,False
531.0,136.24,58.09,20.74,ALPHA,GAMMA,True,False,False
531.0,136.51,58.03,20.79,ALPHA,GAMMA,True,False,False
531.0,136.38,58.16,20.81,ALPHA,THETA,True,False,False
530.0,135.87,58.03,20.79,ALPHA,THETA,True,False,False
530.0,135.34,57.81,20.75,ALPHA,THETA,True,False,False
530.0,135.86,57.92,20.72,ALPHA,THETA,True,False,False
