tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position,ALPHA - Beta,GAMMA - Beta,THETA - Beta
577.0,132.0,65.18,26.83,ALPHA,THETA,False,True,True,0.17178254656495634,0.27850032891516185,0.2377764752592927
526.0,136.56,67.9,29.24,GAMMA,THETA,False,True,True,-0.6753387450514711,-0.9132341886857693,-2.0591854772288163
469.0,131.12,70.45,27.22,GAMMA,THETA,True,False,True,0.7388896086448785,-0.05304433001835183,-0.04475922293417938
424.0,146.47,79.57,27.31,THETA,ALPHA,False,True,True,1.2177415626150963,-0.08168048976882276,0.1970698779627502
383.0,174.12,99.28,28.84,ALPHA,THETA,False,True,True,-0.39781497221242745,-1.979308139301648,-0.4475279145543672
